[2021-01-21 06:38:35,969] {{taskinstance.py:655}} INFO - Dependencies all met for <TaskInstance: MarketVol.error_log_analyzer 2021-01-21T06:37:24.920588+00:00 [queued]>
[2021-01-21 06:38:35,981] {{taskinstance.py:655}} INFO - Dependencies all met for <TaskInstance: MarketVol.error_log_analyzer 2021-01-21T06:37:24.920588+00:00 [queued]>
[2021-01-21 06:38:35,982] {{taskinstance.py:866}} INFO - 
--------------------------------------------------------------------------------
[2021-01-21 06:38:35,982] {{taskinstance.py:867}} INFO - Starting attempt 1 of 1
[2021-01-21 06:38:35,983] {{taskinstance.py:868}} INFO - 
--------------------------------------------------------------------------------
[2021-01-21 06:38:35,991] {{taskinstance.py:887}} INFO - Executing <Task(BashOperator): error_log_analyzer> on 2021-01-21T06:37:24.920588+00:00
[2021-01-21 06:38:35,995] {{standard_task_runner.py:53}} INFO - Started process 910 to run task
[2021-01-21 06:38:36,040] {{logging_mixin.py:112}} INFO - Running %s on host %s <TaskInstance: MarketVol.error_log_analyzer 2021-01-21T06:37:24.920588+00:00 [running]> 99b7c767768b
[2021-01-21 06:38:36,053] {{bash_operator.py:82}} INFO - Tmp dir root location: 
 /tmp
[2021-01-21 06:38:36,055] {{bash_operator.py:105}} INFO - Temporary script location: /tmp/airflowtmpjnuv8w77/error_log_analyzeryti918cn
[2021-01-21 06:38:36,056] {{bash_operator.py:115}} INFO - Running command: python ${AIRFLOW_HOME}/script/log_analyzer.py -p ${AIRFLOW_HOME}/logs/MarketVol -v 1
[2021-01-21 06:38:36,063] {{bash_operator.py:122}} INFO - Output:
[2021-01-21 06:38:36,419] {{bash_operator.py:126}} INFO - Total number of errors: 85
[2021-01-21 06:38:36,420] {{bash_operator.py:126}} INFO - 
[2021-01-21 06:38:36,421] {{bash_operator.py:126}} INFO - Here are all the errors:
[2021-01-21 06:38:36,421] {{bash_operator.py:126}} INFO - [2021-01-11 18:22:16,544] {taskinstance.py:1396} ERROR - Bash command failed. The command returned a non-zero exit code.
[2021-01-21 06:38:36,422] {{bash_operator.py:126}} INFO - [2021-01-11 18:24:15,743] {taskinstance.py:1396} ERROR - Bash command failed. The command returned a non-zero exit code.
[2021-01-21 06:38:36,423] {{bash_operator.py:126}} INFO - [2021-01-11 18:25:34,761] {taskinstance.py:1396} ERROR - Bash command failed. The command returned a non-zero exit code.
[2021-01-21 06:38:36,423] {{bash_operator.py:126}} INFO - [2021-01-11 18:27:05,394] {taskinstance.py:1396} ERROR - Bash command failed. The command returned a non-zero exit code.
[2021-01-21 06:38:36,424] {{bash_operator.py:126}} INFO - [2021-01-11 18:29:41,189] {taskinstance.py:1396} ERROR - Bash command failed. The command returned a non-zero exit code.
[2021-01-21 06:38:36,425] {{bash_operator.py:126}} INFO - [2021-01-11 18:31:15,075] {taskinstance.py:1396} ERROR - Bash command failed. The command returned a non-zero exit code.
[2021-01-21 06:38:36,425] {{bash_operator.py:126}} INFO - [2021-01-11 18:16:18,213] {taskinstance.py:1396} ERROR - 'AIRFLOW_HOME'
[2021-01-21 06:38:36,426] {{bash_operator.py:126}} INFO - [2021-01-11 18:16:25,637] {taskinstance.py:1396} ERROR - 'AIRFLOW_HOME'
[2021-01-21 06:38:36,427] {{bash_operator.py:126}} INFO - [2021-01-11 18:16:32,698] {taskinstance.py:1396} ERROR - 'AIRFLOW_HOME'
[2021-01-21 06:38:36,428] {{bash_operator.py:126}} INFO - [2021-01-11 18:16:39,542] {taskinstance.py:1396} ERROR - 'AIRFLOW_HOME'
